iters,ssim,psnr,rmse
1000+500,0.9644210136167897,20.681657791137695,0.09547134
10000+5000,0.9710010686716075,22.702205181121826,0.075278945
11000+5500,0.9711847035730037,22.61447310447693,0.077323034
12000+6000,0.9702186933084523,22.48968005180359,0.07827568
13000+6500,0.9704103490280681,22.570061683654785,0.077087805
14000+7000,0.970780775990696,22.50291347503662,0.077743374
15000+7500,0.9702877536549792,22.4917733669281,0.07709131
16000+8000,0.9700598914780697,22.540313005447388,0.07682925
17000+8500,0.9705004365751411,22.54386067390442,0.07639642
18000+9000,0.9707491026215236,22.494276762008667,0.07669105
19000+9500,0.9702192901977036,22.541764974594116,0.07630035
2000+1000,0.9675105884465582,21.80644392967224,0.08218372
20000+10000,0.9701070773763101,22.660584449768066,0.07628374
3000+1500,0.9688635037786373,22.350581884384155,0.08156647
30000+15000,0.9702464233894611,22.790762186050415,0.07362528
4000+2000,0.9689582958931982,22.219146490097046,0.07884593
40000+20000,0.9701949066202029,22.830278873443604,0.073536746
5000+2500,0.9697755002086099,22.406364679336548,0.07709725
50000+25000,0.9702420377469072,22.873530387878418,0.07278882
6000+3000,0.969870214308067,22.389720678329468,0.07895301
7000+3500,0.9704526102759901,22.56076455116272,0.07801612
8000+4000,0.9710381557197643,22.757335901260376,0.07598671
9000+4500,0.970535114640962,22.552286386489868,0.077503175
